file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
33;99;FRE;Z;20171116_213413.452 ;FREZ16-11-2017_21:34:09.659;MJo;2021-08-03 17:13:03.089 ;4Testing;2017-11-16T21:34:13.452Z;2017-11-16T21:34:14.912Z;0;0;0;-2.3721;nn;0025-07-2T 00:00:00Z; ;LP;2.3739;2017-11-16 21:34:19 ;5.8852
34;99;FRE;Z;20171116_215526.372 ;FREZ16-11-2017_21:55:21.255;MJo;2021-08-03 17:13:03.090 ;4Testing;2017-11-16T21:55:26.372Z;2017-11-16T21:55:27.562Z;0;0;0;33.9779;nn;0025-07-2T 00:00:00Z; ;LP;6.6319;2017-11-16 21:55:37 ;2.3934
35;99;SHG;Z;20171116_215526.372 ;SHGZ16-11-2017_21:55:21.436;MJo;2021-08-03 17:13:03.090 ;4Testing;2017-11-16T21:55:26.542Z;2017-11-16T21:55:28.062Z;0;0;0;23.2484;nn;0025-07-2T 00:00:00Z; ;LP;4.481;2017-11-16 21:55:39 ;2.2614
36;99;SHG;Z;20171116_224949.932 ;SHGZ16-11-2017_22:49:45.678;MJo;2021-08-03 17:13:03.091 ;4Testing;2017-11-16T22:49:49.932Z;2017-11-16T22:49:50.872Z;0;0;0;15.5436;nn;0025-07-2T 00:00:00Z; ;LP;2.3798;2017-11-16 22:49:56 ;5.5591
37;99;FRE;Z;20171116_224949.932 ;FREZ16-11-2017_22:49:46.061;MJo;2021-08-03 17:13:03.092 ;4Testing;2017-11-16T22:49:50.052Z;2017-11-16T22:49:50.612Z;0;0;0;19.4922;nn;0025-07-2T 00:00:00Z; ;OT;2.5405;2017-11-16 22:49:55 ;7.0164
38;99;FRE;Z;20171117_004641.472 ;FREZ17-11-2017_00:46:37.468;MJo;2021-08-03 17:13:03.093 ;4Testing;2017-11-17T00:46:41.472Z;2017-11-17T00:46:40.202Z;0;0;0;-1.217;nn;0025-07-2T 00:00:00Z; ;OT;2.3685;2017-11-17 00:46:46 ;5.6721
39;99;SHG;Z;20171117_005423.072 ;SHGZ17-11-2017_00:54:19.929;MJo;2021-08-03 17:13:03.094 ;4Testing;2017-11-17T00:54:23.072Z;2017-11-17T00:54:24.022Z;0;0;0;15.3481;nn;0025-07-2T 00:00:00Z; ;VT;3.0122;2017-11-17 00:54:31 ;6.276
40;99;FRE;Z;20171117_014442.042 ;FREZ17-11-2017_01:44:38.602;MJo;2021-08-03 17:13:03.095 ;4Testing;2017-11-17T01:44:42.042Z;2017-11-17T01:44:42.942Z;0;0;0;22.0801;nn;0025-07-2T 00:00:00Z; ;OT;5.8319;2017-11-17 01:44:53 ;2.3934
41;99;SHG;Z;20171117_014442.042 ;SHGZ17-11-2017_01:44:39.634;MJo;2021-08-03 17:13:03.096 ;4Testing;2017-11-17T01:44:42.102Z;2017-11-17T01:44:43.852Z;0;0;0;13.8628;nn;0025-07-2T 00:00:00Z; ;OT;2.8032;2017-11-17 01:44:50 ;2.2611
42;99;FRE;Z;20171117_021835.233 ;FREZ17-11-2017_02:18:21.133;MJo;2021-08-03 17:13:03.097 ;4Testing;2017-11-17T02:18:35.233Z;2017-11-17T02:18:47.965Z;0;0;0;-3.2773;nn;0025-07-2T 00:00:00Z; ;TR;1.8757;2017-11-17 02:18:30 ;1.3684
